City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
239,Komsomolskiy,UZ,40.4272,71.7189,59.0,38,0,6.91,clear sky,2021-04-11 03:12:47
240,Lorengau,PG,-2.0226,147.2712,82.47,81,100,18.52,overcast clouds,2021-04-11 03:12:47
241,Thompson,CA,55.7435,-97.8558,33.8,64,40,9.22,scattered clouds,2021-04-11 03:12:47
242,Banjar,ID,-8.19,114.9675,86.0,79,40,5.75,scattered clouds,2021-04-11 03:12:48
243,Revelstoke,CA,50.9832,-118.2023,42.8,45,75,9.22,broken clouds,2021-04-11 03:12:48
244,Sharjah,AE,25.3573,55.4033,80.6,46,0,6.91,clear sky,2021-04-11 03:12:49
245,Prince Rupert,CA,54.3161,-130.3201,39.2,70,90,5.75,light snow,2021-04-11 03:12:49
246,Abu Zabad,SD,12.35,29.25,77.25,9,37,18.66,scattered clouds,2021-04-11 03:12:49
247,Taunggyi,MM,20.7833,97.0333,80.35,37,20,4.29,few clouds,2021-04-11 03:12:50
248,Marsala,IT,37.7966,12.4352,57.99,100,0,13.8,clear sky,2021-04-11 03:09:08
249,Kuandian,CN,40.7286,124.7847,58.3,44,99,12.3,overcast clouds,2021-04-11 03:12:50
250,Nha Trang,VN,12.25,109.1833,75.2,100,75,8.05,broken clouds,2021-04-11 03:12:50
251,Warmbad,NA,-28.45,18.7333,74.57,33,0,1.77,clear sky,2021-04-11 03:12:51
252,Palmdale,US,34.5794,-118.1165,64.4,19,1,20.71,clear sky,2021-04-11 03:12:51
253,Berlevag,NO,70.8578,29.0864,25.57,76,44,21.97,scattered clouds,2021-04-11 03:09:27
254,Dongsheng,CN,39.8161,109.9776,50.22,70,100,13.13,overcast clouds,2021-04-11 03:12:52
255,Tual,ID,-5.6667,132.75,83.55,70,78,10.51,broken clouds,2021-04-11 03:12:52
256,Sawtell,AU,-30.3833,153.1,73.4,49,0,8.05,clear sky,2021-04-11 03:12:52
257,Okha,RU,53.5739,142.9478,43.02,74,100,15.03,overcast clouds,2021-04-11 03:12:53
258,Umba,RU,66.6871,34.3429,29.37,85,18,13.18,few clouds,2021-04-11 03:12:53
259,Bengkulu,ID,-3.8004,102.2655,83.5,68,29,3.83,scattered clouds,2021-04-11 03:12:53
260,Kahului,US,20.8947,-156.47,75.2,60,40,10.36,scattered clouds,2021-04-11 03:09:38
